BioCycID	Metabolites	B_thuringiensis_70323_A	B_thuringiensis_70323_B	B_thuringiensis_70323_C	B_thuringiensis_70323_D	B_toyonensis_70323_A	B_toyonensis_70323_B	B_toyonensis_70323_C	B_toyonensis_70323_D	B4UZN_Ctrl_70323_A	B4UZN_Ctrl_70323_B	B4UZN_Ctrl_70323_C	B4UZN_Ctrl_70323_D	B4UZN_Ctrl_70323_E	C_flaccumfaciens_70323_A	C_flaccumfaciens_70323_B	C_flaccumfaciens_70323_C	C_flaccumfaciens_70323_D	Microbacterium_70323_A	Microbacterium_70323_B	Microbacterium_70323_C	Microbacterium_70323_D_and_E	R_qingshengii_70323_A	R_qingshengii_70323_C	R_qingshengii_70323_D	Shared_metab_70323_A	Shared_metab_70323_B	Shared_metab_70323_C	Shared_metab_70323_D	Shared_metab_70323_E
 DIMETHYL-GLYCINE	L-3-Aminoisobutyric acid_HILNeg	25.26890272	24.99992562	25.40699913	24.940932	25.22813153	24.78704498	25.13766412	25.32431475	27.25327131	27.69093118	27.045572	27.05034996	27.29832092	25.2737329	25.26363578	25.70546341	25.15686618	24.21724675	24.42190921	24.33533368	24.10897775	25.09518812	25.18302504	25.11630121	25.03446882	24.8700128	25.03902707	25.1350597	25.08011686
 CPD-17880	L-3-Aminoisobutyric acid_HILNeg	25.26890272	24.99992562	25.40699913	24.940932	25.22813153	24.78704498	25.13766412	25.32431475	27.25327131	27.69093118	27.045572	27.05034996	27.29832092	25.2737329	25.26363578	25.70546341	25.15686618	24.21724675	24.42190921	24.33533368	24.10897775	25.09518812	25.18302504	25.11630121	25.03446882	24.8700128	25.03902707	25.1350597	25.08011686
 CPD0-1952	L-3-Aminoisobutyric acid_HILNeg	25.26890272	24.99992562	25.40699913	24.940932	25.22813153	24.78704498	25.13766412	25.32431475	27.25327131	27.69093118	27.045572	27.05034996	27.29832092	25.2737329	25.26363578	25.70546341	25.15686618	24.21724675	24.42190921	24.33533368	24.10897775	25.09518812	25.18302504	25.11630121	25.03446882	24.8700128	25.03902707	25.1350597	25.08011686
 4-AMINO-BUTYRATE	L-3-Aminoisobutyric acid_HILNeg	25.26890272	24.99992562	25.40699913	24.940932	25.22813153	24.78704498	25.13766412	25.32431475	27.25327131	27.69093118	27.045572	27.05034996	27.29832092	25.2737329	25.26363578	25.70546341	25.15686618	24.21724675	24.42190921	24.33533368	24.10897775	25.09518812	25.18302504	25.11630121	25.03446882	24.8700128	25.03902707	25.1350597	25.08011686
 CPD-471	L-3-Aminoisobutyric acid_HILNeg	25.26890272	24.99992562	25.40699913	24.940932	25.22813153	24.78704498	25.13766412	25.32431475	27.25327131	27.69093118	27.045572	27.05034996	27.29832092	25.2737329	25.26363578	25.70546341	25.15686618	24.21724675	24.42190921	24.33533368	24.10897775	25.09518812	25.18302504	25.11630121	25.03446882	24.8700128	25.03902707	25.1350597	25.08011686
 CPD-14303	L-3-Aminoisobutyric acid_HILNeg	25.26890272	24.99992562	25.40699913	24.940932	25.22813153	24.78704498	25.13766412	25.32431475	27.25327131	27.69093118	27.045572	27.05034996	27.29832092	25.2737329	25.26363578	25.70546341	25.15686618	24.21724675	24.42190921	24.33533368	24.10897775	25.09518812	25.18302504	25.11630121	25.03446882	24.8700128	25.03902707	25.1350597	25.08011686
 CPD-6141	L-3-Aminoisobutyric acid_HILNeg	25.26890272	24.99992562	25.40699913	24.940932	25.22813153	24.78704498	25.13766412	25.32431475	27.25327131	27.69093118	27.045572	27.05034996	27.29832092	25.2737329	25.26363578	25.70546341	25.15686618	24.21724675	24.42190921	24.33533368	24.10897775	25.09518812	25.18302504	25.11630121	25.03446882	24.8700128	25.03902707	25.1350597	25.08011686
 CPD-466	L-3-Aminoisobutyric acid_HILNeg	25.26890272	24.99992562	25.40699913	24.940932	25.22813153	24.78704498	25.13766412	25.32431475	27.25327131	27.69093118	27.045572	27.05034996	27.29832092	25.2737329	25.26363578	25.70546341	25.15686618	24.21724675	24.42190921	24.33533368	24.10897775	25.09518812	25.18302504	25.11630121	25.03446882	24.8700128	25.03902707	25.1350597	25.08011686
 CPD-8145	L-3-Aminoisobutyric acid_HILNeg	25.26890272	24.99992562	25.40699913	24.940932	25.22813153	24.78704498	25.13766412	25.32431475	27.25327131	27.69093118	27.045572	27.05034996	27.29832092	25.2737329	25.26363578	25.70546341	25.15686618	24.21724675	24.42190921	24.33533368	24.10897775	25.09518812	25.18302504	25.11630121	25.03446882	24.8700128	25.03902707	25.1350597	25.08011686
 CPD-298	L-3-Aminoisobutyric acid_HILNeg	25.26890272	24.99992562	25.40699913	24.940932	25.22813153	24.78704498	25.13766412	25.32431475	27.25327131	27.69093118	27.045572	27.05034996	27.29832092	25.2737329	25.26363578	25.70546341	25.15686618	24.21724675	24.42190921	24.33533368	24.10897775	25.09518812	25.18302504	25.11630121	25.03446882	24.8700128	25.03902707	25.1350597	25.08011686
